timestamp ; ip_source      ; ip_destination; protocole; port_destination; duree_connexion_sec; volume_donnees_kb; nb_paquets; nb_echecs_auth; type_trafic ; ml_alert; niveau_crise; label; debit_paquets        ; taille_moyenne_paquet
01/04/2025; 192.168.5.229  ; 10.0.0.152    ; UDP      ;               80;                3.16;            119.37;        193;              0; normal      ;        0;            0;     0;  61.07575608937946   ;   0.6184974093264249
01/04/2025; 192.168.5.140  ; 10.0.3.57     ; UDP      ;             8080;               21.51;             23.0 ;         55;              2; normal      ;        0;            0;     0;   2.556949066969285  ;   0.41818181818181815
01/04/2025; 192.168.1.246  ; 10.0.2.27     ; TCP      ;             3389;                8.41;            352.09;         92;              0; normal      ;        0;            0;     0;  10.9393448997088    ;   3.8270652173913042
01/04/2025; 192.168.0.250  ; 10.0.3.21     ; ICMP     ;               22;               13.84;            405.49;        191;              1; normal      ;        0;            0;     0;  13.800568063173365  ;   2.1229842931937175
01/04/2025; 192.168.1.198  ; 10.0.2.253    ; TCP      ;              443;                1.47;            104.22;         22;              2; normal      ;        0;            0;     0;  14.965884585819143  ;   4.737272727272727
01/04/2025; 192.168.2.180  ; 10.0.0.156    ; TCP      ;             8080;                6.36;             89.7 ;         95;              1; normal      ;        0;            0;     0;  14.937083432258754  ;   0.9442105263157895
01/04/2025; 192.168.1.176  ; 10.0.2.216    ; TCP      ;              443;               20.68;            494.87;        168;              1; normal      ;        0;            0;     0;   8.123787174184152  ;   2.9456547619047617
01/04/2025; 192.168.2.55   ; 10.0.3.102    ; UDP      ;              443;               26.3 ;            113.38;        150;              0; normal      ;        0;            0;     0;   5.703419884631223  ;   0.7558666666666667
01/04/2025; 192.168.4.103  ; 10.0.2.57     ; TCP      ;             8080;               12.91;            138.74;        154;              2; normal      ;        0;            0;     0;  11.92872817294487   ;   0.900909090909091
01/04/2025; 192.168.3.153  ; 10.0.0.99     ; UDP      ;             8080;               23.78;             84.89;         45;              0; normal      ;        0;            0;     0;   1.8923457139000361 ;   1.8864444444444444
01/04/2025; 192.168.4.193  ; 10.0.2.197    ; TCP      ;               80;               20.48;            343.34;         34;              0; normal      ;        0;            0;     0;   1.6601554393772269 ;  10.098235294117647
01/04/2025; 192.168.1.130  ; 10.0.0.223    ; TCP      ;             8080;               29.16;            439.17;         72;              2; normal      ;        0;            0;     0;   2.469134955715036  ;   6.099583333333333
01/04/2025; 192.168.4.83   ; 10.0.3.5      ; TCP      ;               22;               27.56;            274.3 ;        140;              0; normal      ;        0;            0;     0;   5.079823991355592  ;   1.9592857142857143
01/04/2025; 192.168.0.251  ; 10.0.1.33     ; UDP      ;             8080;               21.98;            474.01;         26;              2; normal      ;        0;            0;     0;   1.1828930014135572 ;  18.231153846153845
01/04/2025; 192.168.5.52   ; 10.0.2.103    ; TCP      ;             3389;               22.68;            482.54;        143;              1; normal      ;        0;            0;     0;   6.305111858416288  ;   3.3744055944055944
