date,heure_depart_prevue,compagnie,aeroport_depart,aeroport_arrivee,cyber_alert,retard_minutes,annulation,cause_perturbation,ml_alert,niveau_crise,proba_cyber,pred_annulation,pred_retard,aviation_perturbee
2025-04-01,11:45,Ryanair,LHR,FCO,0,0,0,aucune,0,0,0.0061212121212121,0,11.579362303669598,0
2025-04-01,20:15,AirFrance,FCO,ORD,0,8,0,aucune,0,0,0.0007705627705627,0,10.440359952474626,0
2025-04-01,15:15,AirFrance,AMS,LIS,0,14,0,aucune,0,0,0.0,0,9.966070755329286,0
2025-04-01,05:30,Delta,IST,GVA,0,12,0,aucune,0,0,0.0,0,10.244674782782845,0
2025-04-01,12:30,Iberia,FCO,CPH,0,12,0,aucune,0,0,0.0005797101449275,0,10.691232473657317,0
2025-04-01,07:00,KLM,JFK,DXB,0,0,0,aucune,0,0,0.0,0,8.861084678056228,0
2025-04-01,10:00,Emirates,LHR,JFK,0,22,0,aucune,0,0,0.006,0,11.985896508105752,0
2025-04-01,06:45,Iberia,DXB,CPH,0,10,0,aucune,0,0,0.0001212121212121,0,10.606186084548272,0
2025-04-01,22:45,KLM,CDG,ORD,0,0,0,aucune,0,0,0.0011357048748353,0,8.986370223678295,0
2025-04-01,14:30,Swiss,AMS,DXB,0,13,0,aucune,0,0,0.0,0,10.828903708005043,0
2025-04-01,09:30,Swiss,LHR,BCN,0,11,0,aucune,0,0,0.0001212121212121,0,10.660091754206038,0
2025-04-01,20:45,Delta,AMS,ATH,0,0,0,aucune,0,0,0.0005797101449275,0,10.143356218257845,0
2025-04-01,20:00,British,MAD,IST,0,0,0,aucune,0,0,0.0022957274609448,0,10.826224761163816,0
2025-04-01,05:30,Delta,LHR,BRU,0,12,0,aucune,0,0,0.0,0,10.307708320757492,0
2025-04-01,08:00,Ryanair,FCO,IST,0,0,0,aucune,0,0,0.0005797101449275,0,10.260372098195912,0
2025-04-01,22:15,British,CDG,IST,0,3,0,aucune,0,0,0.0004347826086956,0,9.804842831838823,0
2025-04-01,18:30,British,BRU,LHR,0,24,0,aucune,0,0,0.0005797101449275,0,10.879528199990116,0
2025-04-01,22:15,Lufthansa,BRU,ATH,0,0,0,aucune,0,0,0.0010144927536231,0,8.3778886766896,0
2025-04-01,13:15,Turkish,BRU,ZRH,0,0,0,aucune,0,0,0.0,0,10.217255525569627,0
2025-04-01,17:30,Ryanair,BRU,ORD,0,25,0,aucune,0,0,0.0023611786063398,0,12.628602704721668,0
2025-04-01,20:15,Emirates,CDG,SIN,0,1,0,aucune,0,0,0.0,0,10.038065239576975,0
2025-04-01,09:15,Emirates,FCO,AMS,0,5,0,aucune,0,0,0.0,0,9.611096648093636,0
2025-04-01,06:15,Swiss,FCO,CDG,0,16,0,aucune,0,0,0.0019954342058128,0,12.296085121503033,0
2025-04-01,14:00,Delta,IST,LHR,0,7,0,aucune,0,0,0.0010144927536231,0,10.513481502348492,0
2025-04-01,20:30,Turkish,IST,BCN,0,11,0,aucune,0,0,0.0005797101449275,0,10.53529299701541,0
2025-04-01,11:15,Turkish,DXB,CDG,0,12,0,aucune,0,0,0.0017160173160173,0,11.100106875627612,0
2025-04-01,13:00,Swiss,MAD,DXB,0,0,1,aucune,0,0,0.0005797101449275,1,11.151558333594062,1
2025-04-01,16:45,British,MAD,SIN,0,14,0,aucune,0,0,0.0004347826086956,0,10.42929982985032,0
2025-04-01,11:45,British,DXB,AMS,0,1,0,aucune,0,0,0.0005797101449275,0,9.894182744021428,0
2025-04-01,21:15,AirFrance,BRU,MUC,0,5,0,aucune,0,0,0.0010144927536231,0,10.92174144396662,0
2025-04-01,16:30,Swiss,CDG,LAX,0,0,0,aucune,0,0,0.0001212121212121,0,10.190502567246245,0
2025-04-01,20:45,AirFrance,FRA,LAX,0,15,0,aucune,0,0,0.0012290607942781,0,10.397983487000383,0
2025-04-02,05:45,Ryanair,FCO,GVA,0,0,0,aucune,0,0,0.0,0,9.345230622867675,0
2025-04-02,22:00,AirFrance,AMS,MAD,0,14,0,aucune,0,0,0.0,0,9.966070755329286,0
2025-04-02,09:15,Emirates,JFK,LHR,0,21,0,aucune,0,0,0.0010144927536231,0,11.930100407430091,0
2025-04-02,06:45,AirFrance,AMS,ZRH,0,22,0,aucune,0,0,0.006,0,12.107224255941357,0
2025-04-02,11:00,British,AMS,IST,0,23,0,aucune,0,0,0.0029408887512674,0,11.920989597163581,0
2025-04-02,16:00,KLM,MAD,FCO,0,0,0,aucune,0,0,0.0001212121212121,0,9.887574908908702,0
2025-04-02,21:15,Turkish,JFK,ATH,0,9,0,aucune,0,0,0.78,0,10.900495125349046,0
2025-04-02,11:45,Emirates,CDG,ORD,0,3,0,aucune,0,0,0.0023611786063398,0,10.126228128873025,0
2025-04-02,08:30,Iberia,BRU,FCO,0,13,0,aucune,0,0,0.0007009222661396,0,10.88080187426784,0
2025-04-02,07:00,Lufthansa,DXB,FCO,0,0,0,aucune,0,0,0.0027305100696405,0,8.445566656314506,0
2025-04-02,05:15,AirFrance,LHR,BCN,0,9,0,aucune,0,0,0.0005797101449275,0,9.71555467664408,0
2025-04-02,12:30,Delta,DXB,ORD,0,0,0,aucune,0,0,0.0029408887512674,0,10.454368560669023,0
2025-04-02,14:15,Turkish,DXB,LIS,0,5,0,aucune,0,0,0.0001212121212121,0,10.343531172770803,0
2025-04-02,11:30,Delta,DXB,ORD,0,3,0,aucune,0,0,0.0005797101449275,0,9.79526462288568,0
2025-04-02,13:00,Iberia,AMS,LIS,0,6,0,aucune,0,0,0.0,0,10.262992972229513,0
2025-04-02,21:45,Emirates,CDG,LIS,0,7,0,aucune,0,0,0.0,0,10.038065239576975,0
2025-04-02,11:45,British,FRA,IST,0,5,0,aucune,0,0,0.0005797101449275,0,9.580975984407354,0
2025-04-02,21:30,Lufthansa,IST,SIN,0,3,0,aucune,0,0,0.0,0,8.233227705456951,0
